day,regionP,time,onVolume,offVolume
1,3,22,1394,1261
1,3,23,1113,782
1,4,0,1263,1634
1,4,1,1284,1379
1,4,2,998,1124
1,4,3,577,757
1,4,4,425,613
1,4,5,700,944
1,4,6,623,922
1,4,7,990,1411
1,4,8,1330,1501
1,4,9,1276,1380
1,4,10,1421,1436
1,4,11,1660,1660
1,4,12,1588,1581
1,4,13,1614,1668
1,4,14,1513,1498
1,4,15,1380,1336
1,4,16,1288,1382
1,4,17,1176,1287
1,4,18,1092,1120
1,4,19,1796,1712
1,4,20,1726,1694
1,4,21,1673,1708
1,4,22,1799,1804
1,4,23,1400,1168
1,5,0,846,922
1,5,1,723,587
1,5,2,584,460
1,5,3,300,220
1,5,4,221,196
1,5,5,562,732
1,5,6,788,621
1,5,7,1107,1036
1,5,8,1839,1691
1,5,9,2262,2042
1,5,10,2200,1965
1,5,11,2013,1909
1,5,12,1829,1797
1,5,13,1931,1816
1,5,14,1784,1738
1,5,15,1639,1505
1,5,16,1417,1360
1,5,17,1651,1628
1,5,18,1733,1549
1,5,19,2147,2077
1,5,20,1842,1720
1,5,21,1996,1873
1,5,22,1833,1655
1,5,23,1374,973
2,0,0,1775,2436
2,0,1,1803,1957
2,0,2,1308,1360
2,0,3,700,740
2,0,4,823,769
2,0,5,1522,1970
2,0,6,1579,1919
2,0,7,2486,2739
2,0,8,2806,2963
2,0,9,2607,2676
2,0,10,3016,3009
2,0,11,3633,3682
2,0,12,3340,3494
2,0,13,3348,3421
2,0,14,2698,2729
2,0,15,2183,2146
2,0,16,1759,1747
2,0,17,1939,2014
2,0,18,2473,2447
2,0,19,3058,3208
2,0,20,3350,3775
2,0,21,3548,3931
2,0,22,3456,4028
2,0,23,3030,3037
2,1,0,2572,3071
2,1,1,2416,2411
2,1,2,2596,2577
2,1,3,1322,1260
2,1,4,952,1004
2,1,5,2758,2061
2,1,6,1854,2641
2,1,7,2224,3081
2,1,8,2590,2971
2,1,9,2323,2554
2,1,10,2538,2626
2,1,11,2542,2619
2,1,12,2704,2782
2,1,13,2566,2687
2,1,14,2681,2598
2,1,15,3189,3200
2,1,16,3200,3524
2,1,17,2943,3385
2,1,18,3260,3175
2,1,19,3799,3573
2,1,20,3804,3627
2,1,21,3945,3757
2,1,22,4299,3761
2,1,23,3927,2965
2,2,0,1267,1514
2,2,1,1146,926
2,2,2,795,696
2,2,3,524,411
2,2,4,346,268
2,2,5,496,1094
2,2,6,486,935
2,2,7,636,867
2,2,8,1044,986
2,2,9,1492,1429
2,2,10,1518,1543
2,2,11,1509,1536
2,2,12,1402,1545
2,2,13,1167,1280
2,2,14,1100,1109
2,2,15,1135,1104
2,2,16,1088,1097
2,2,17,1092,1192
2,2,18,1289,1319
2,2,19,1757,1681
2,2,20,2233,2077
2,2,21,2507,2456
2,2,22,2867,2477
2,2,23,2478,1711
2,3,0,736,753
2,3,1,860,568
2,3,2,709,558
2,3,3,361,300
2,3,4,316,311
2,3,5,1173,1017
2,3,6,1885,1079
2,3,7,2197,1738
2,3,8,2093,2055
2,3,9,1812,1760
2,3,10,1911,1750
2,3,11,2048,1941
2,3,12,2105,1981
2,3,13,1922,1853
2,3,14,1894,1661
2,3,15,1734,1479
2,3,16,1607,1510
2,3,17,1731,1753
2,3,18,1752,1777
2,3,19,1601,1545
2,3,20,1524,1489
2,3,21,1460,1381
2,3,22,1438,1404
2,3,23,1337,955
2,4,0,1041,1336
2,4,1,1040,1127
2,4,2,793,906
2,4,3,462,682
2,4,4,286,464
2,4,5,630,939
2,4,6,588,952
2,4,7,877,1312
2,4,8,1156,1343
2,4,9,1077,1097
2,4,10,1194,1195
2,4,11,1460,1415
2,4,12,1448,1413
2,4,13,1335,1270
2,4,14,1038,1089
2,4,15,1059,1023
2,4,16,1030,1011
2,4,17,970,981
2,4,18,1102,1074
2,4,19,1391,1394
2,4,20,1769,1703
2,4,21,1855,1733
2,4,22,1933,1865
2,4,23,1757,1480
2,5,0,872,996
2,5,1,724,617
2,5,2,466,392
2,5,3,256,201
2,5,4,189,147
2,5,5,607,603
2,5,6,693,510
2,5,7,1149,1081
2,5,8,1928,1776
2,5,9,2245,2073
2,5,10,2106,1951
2,5,11,1894,1798
2,5,12,1841,1792
2,5,13,1882,1798
2,5,14,1701,1717
2,5,15,1474,1398
2,5,16,1150,1094
2,5,17,1356,1357
2,5,18,1864,1696
2,5,19,2151,1986
2,5,20,2068,1934
2,5,21,2081,1880
2,5,22,1905,1653
2,5,23,1548,1033
3,0,0,2259,3048
3,0,1,2268,2524
3,0,2,1820,1972
3,0,3,1023,1048
3,0,4,935,882
3,0,5,1552,2071
3,0,6,1506,1881
3,0,7,2743,2954
3,0,8,3147,3472
3,0,9,3198,3444
3,0,10,3155,3255
3,0,11,3312,3376
3,0,12,3523,3682
3,0,13,3492,3528
3,0,14,3144,3159
3,0,15,2902,2896
3,0,16,2592,2785
3,0,17,3492,3837
3,0,18,4036,4500
3,0,19,4243,4801
3,0,20,3961,4434
3,0,21,3810,4353
3,0,22,3397,4027
3,0,23,2708,2845
3,1,0,3046,3615
3,1,1,3076,3047
3,1,2,3349,3230
3,1,3,1940,1868
3,1,4,1317,1386
3,1,5,3045,2609
3,1,6,1739,2265
3,1,7,2598,3188
3,1,8,2567,2939
3,1,9,2181,2384
3,1,10,2347,2502
3,1,11,2537,2601
3,1,12,2864,3016
3,1,13,2991,3027
3,1,14,3092,3070
3,1,15,3449,3384
3,1,16,3328,3403
3,1,17,3497,3487
3,1,18,3692,3491
3,1,19,3802,3617
3,1,20,3800,3488
3,1,21,3981,3714
3,1,22,4106,3514
3,1,23,3508,2697
3,2,0,1550,1698
3,2,1,1424,1255
3,2,2,1125,934
3,2,3,722,588
3,2,4,609,539
3,2,5,749,1269
3,2,6,481,1025
3,2,7,845,1383
3,2,8,979,1477
3,2,9,947,1323
3,2,10,1074,1280
3,2,11,1310,1367
3,2,12,1570,1679
3,2,13,1464,1526
3,2,14,1397,1468
3,2,15,1430,1392
